disease,symptoms,severity,description,
Chronic Fatigue Syndrome,"severe fatigue, sleep problems, pain, memory issues",high,"A condition causing extreme fatigue, with no underlying medical explanation."
Lupus,"fatigue, joint pain, butterfly-shaped rash, hair loss",high,"Lupus is an autoimmune disease where the immune system attacks its own tissues."
Epilepsy,"seizures, confusion, staring spells, muscle stiffness",high,"Epilepsy is a central nervous system disorder causing abnormal brain activity."
Bronchitis,"cough, mucus production, chest discomfort, shortness of breath",moderate,"Bronchitis is the inflammation of the lining of your bronchial tubes."
Sinusitis,"facial pain, nasal congestion, headache, cough",moderate,"Sinusitis is inflammation of the sinuses, causing them to become swollen and blocked."
Lyme Disease,"fever, headache, fatigue, skin rash, joint pain",high,"Lyme disease is a tick-borne illness causing long-term joint, heart, and nervous system problems."
Malaria,"fever, chills, sweating, headache, nausea",high,"Malaria is a mosquito-borne infectious disease caused by parasites."
Typhoid Fever,"high fever, stomach pain, headache, weakness, diarrhea",high,"Typhoid fever is a bacterial infection transmitted by contaminated food or water."
Dengue Fever,"high fever, severe headache, joint pain, rash",high,"Dengue fever is a mosquito-borne viral infection."
Meningitis,"severe headache, stiff neck, fever, sensitivity to light",high,"Meningitis is inflammation of the protective membranes covering the brain and spinal cord."
Multiple Sclerosis,"numbness, weakness, vision problems, tremors",high,"Multiple sclerosis affects the brain and spinal cord, causing permanent nerve damage."
Parkinson's Disease,"tremors, stiffness, slow movement, balance problems",high,"Parkinson’s disease is a progressive nervous system disorder affecting movement."
Crohn's Disease,"diarrhea, abdominal pain, weight loss, fatigue",high,"Crohn's disease is an inflammatory bowel disease affecting the digestive tract."
Ulcerative Colitis,"diarrhea, rectal bleeding, abdominal pain, urgency to defecate",high,"Ulcerative colitis is a chronic inflammatory condition affecting the colon."
Shingles,"painful rash, blisters, fever, sensitivity to light",moderate,"Shingles is a viral infection causing a painful rash, often on one side of the body."
Tetanus,"muscle stiffness, difficulty swallowing, jaw spasms, high blood pressure",high,"Tetanus is a bacterial infection causing painful muscle contractions."
Rabies,"fever, headache, confusion, hallucinations, difficulty swallowing",high,"Rabies is a viral infection spread through animal bites, causing brain inflammation."
Whooping Cough,"severe coughing fits, vomiting, difficulty breathing",moderate,"Whooping cough, or pertussis, is a highly contagious respiratory disease."
Mononucleosis,"fatigue, sore throat, fever, swollen lymph nodes",moderate,"Mononucleosis is an infectious viral disease, often called the 'kissing disease.'"
Chickenpox,"fever, rash, itchy blisters, fatigue",low,"Chickenpox is a highly contagious viral infection causing an itchy blister-like rash."
Smallpox,"high fever, rash, blisters, vomiting, fatigue",high,"Smallpox was a contagious disease causing a severe rash, but has been eradicated."
Polio,"fever, fatigue, headache, muscle weakness, paralysis",high,"Polio is a viral disease that can affect nerves and lead to partial or full paralysis."
Scarlet Fever,"rash, sore throat, fever, swollen lymph nodes",moderate,"Scarlet fever is a bacterial illness that develops in people with strep throat."
Diphtheria,"sore throat, fever, swollen glands, difficulty breathing",high,"Diphtheria is a serious bacterial infection affecting the mucous membranes."
Leprosy,"skin lesions, muscle weakness, numbness, eye problems",moderate,"Leprosy is a chronic infectious disease that mainly affects the skin, nerves, and mucous membranes."
Yellow Fever,"fever, chills, headache, nausea, muscle pain, fatigue",high,"Yellow fever is a viral disease transmitted by mosquitoes, causing jaundice and organ failure."
Measles,"fever, cough, runny nose, inflamed eyes, rash",high,"Measles is a highly contagious viral infection causing a characteristic rash."
Rubella,"rash, fever, swollen lymph nodes, joint pain",moderate,"Rubella is a viral infection known as German measles, causing a mild fever and rash."
Mumps,"swollen salivary glands, fever, headache, muscle aches",moderate,"Mumps is a viral infection that affects the salivary glands, causing swelling and pain."
Cholera,"diarrhea, vomiting, leg cramps, dehydration",high,"Cholera is a bacterial disease causing severe diarrhea and dehydration."
